node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now,throughput1,throughput2
fd00::202:2:2:2,18,0,2,7,726476,68,70,60,12,34,100,-64,70,138,60,54,0,472,726530,0,0
fd00::202:2:2:2,18,0,1,7,737009,69,71,60,12,47,100,-64,71,140,60,21,0,303,737030,0,0
fd00::202:2:2:2,18,0,2,7,747539,70,72,60,12,54,100,-64,72,142,60,481,0,482,748020,0,0
fd00::202:2:2:2,18,0,2,7,758071,71,73,60,12,64,100,-64,73,144,60,29,0,207,758100,0,0
fd00::202:2:2:2,18,0,1,7,768602,72,74,60,12,284,100,-64,74,146,60,68,0,352,768670,0,0
fd00::202:2:2:2,18,0,1,7,779133,73,75,60,12,17,100,-64,75,148,60,107,0,323,779240,0,0
fd00::202:2:2:2,18,0,2,7,789662,74,76,60,12,304,100,-64,76,150,60,8,0,222,789670,0,0
fd00::202:2:2:2,18,0,2,7,800195,75,78,60,12,44,100,-64,78,153,60,325,0,162,800520,0,0
fd00::202:2:2:2,18,0,1,7,810726,76,78,60,12,44,100,-64,79,154,60,84,0,162,810810,1,1
fd00::202:2:2:2,18,0,2,7,821257,77,80,60,12,67,100,-64,80,157,60,1033,0,208,822290,0,0
fd00::202:2:2:2,18,0,2,7,831787,78,81,60,12,74,100,-64,81,159,60,793,0,1157,832580,0,0
fd00::202:2:2:2,18,0,1,8,842318,79,82,60,12,14,100,-64,82,161,60,482,0,112,842800,0,0
fd00::202:2:2:2,18,0,2,7,852849,80,82,60,12,14,100,-64,83,162,60,731,0,112,853580,1,1
fd00::202:2:2:2,18,0,2,7,863379,81,83,60,12,11786,100,-64,84,164,60,71,0,6068,863450,1,1
fd00::202:2:2:2,18,0,1,8,873911,82,83,60,12,11786,100,-64,85,165,60,319,0,6068,874230,2,2
fd00::202:2:2:2,18,0,2,7,884443,83,84,60,12,23836,100,-64,86,167,60,427,0,12373,884870,2,2
fd00::202:2:2:2,18,0,2,7,894973,84,85,60,12,21954,100,-64,87,169,60,47,0,11362,895020,2,2
fd00::202:2:2:2,18,0,2,7,905505,85,86,60,12,18744,100,-64,88,171,60,15,0,9687,905520,2,2
fd00::202:2:2:2,18,0,2,7,916036,86,88,60,12,14214,100,-64,89,174,60,3274,0,9382,919310,1,1
fd00::202:2:2:2,18,0,2,7,926567,87,89,60,12,15274,100,-64,90,176,60,23,0,7777,926590,1,1
fd00::202:2:2:2,18,0,2,6,937097,88,91,60,12,4795,100,-64,91,179,60,63,0,2677,937160,0,0
fd00::202:2:2:2,18,0,2,7,947627,89,92,60,12,115,100,-64,92,181,60,33,0,127,947660,0,0
fd00::202:2:2:2,18,0,2,7,958162,90,93,60,12,1454,100,-64,93,183,60,68,0,972,958230,0,0
fd00::202:2:2:2,18,0,2,7,968690,91,94,60,12,345,100,-64,94,185,60,810,0,347,969500,0,0
fd00::202:2:2:2,18,0,2,7,979221,92,95,60,12,6164,100,-64,95,187,60,79,0,3292,979300,0,0
fd00::202:2:2:2,18,0,2,7,989751,93,95,60,12,6164,100,-64,96,188,60,49,0,3292,989800,1,1
fd00::202:2:2:2,18,0,1,8,1000283,94,96,60,12,13456,100,-64,98,190,60,2817,0,7148,1003100,2,2
fd00::202:2:2:2,18,0,2,7,1010814,95,97,60,12,17034,100,-64,99,192,60,616,0,8587,1011430,2,2
fd00::202:2:2:2,18,0,2,7,1021346,96,99,60,12,10476,100,-64,100,195,60,3594,0,5553,1024940,1,1
fd00::202:2:2:2,18,0,2,7,1031877,97,100,60,12,11886,100,-64,101,197,60,413,0,6118,1032290,1,1
fd00::202:2:2:2,18,0,2,7,1042407,98,100,60,12,11886,100,-64,102,198,60,243,0,6118,1042650,2,2
fd00::202:2:2:2,18,0,2,7,1052938,99,101,60,12,16656,100,-64,103,200,60,632,0,8643,1053570,2,2
fd00::202:2:2:2,18,0,3,7,1063470,100,102,60,12,22404,100,-64,104,202,60,40,0,11412,1063510,2,2
fd00::202:2:2:2,18,0,2,7,1074001,101,103,60,12,23394,100,-64,105,204,60,9,0,11872,1074010,2,2
fd00::202:2:2:2,18,0,2,7,1084531,102,103,60,12,23394,100,-64,106,205,60,49,0,11872,1084580,3,3
fd00::202:2:2:2,18,0,2,7,1095063,103,105,60,12,22575,100,-64,107,208,60,17,0,11357,1095080,2,2
fd00::202:2:2:2,18,0,2,7,1105593,104,106,60,12,22796,100,-64,108,210,60,57,0,11468,1105650,2,2
