node,cpu_mj,total_mj,latency_ms,volume_B,response_ms,throughput_bps,root_time_now
fd00::203:3:3:3,18,25,184,5112,1654,348,739550
fd00::203:3:3:3,18,26,264,5184,754,763,749840
fd00::203:3:3:3,18,25,414,5256,2514,229,762790
fd00::203:3:3:3,18,26,155,5340,785,856,770840
fd00::203:3:3:3,18,25,164,5412,374,1540,780920
fd00::203:3:3:3,18,26,454,5484,1014,568,791070
fd00::203:3:3:3,18,25,184,5556,2424,237,802550
fd00::203:3:3:3,18,25,124,5628,264,2181,811440
fd00::203:3:3:3,18,26,274,5700,974,591,821660
fd00::203:3:3:3,18,25,214,5772,2384,241,832650
fd00::203:3:3:3,18,25,224,5844,364,1582,842240
fd00::203:3:3:3,18,26,164,5916,584,986,852600
fd00::203:3:3:3,18,26,174,5988,454,1268,862750
fd00::203:3:3:3,18,26,184,6060,464,1241,872970
fd00::203:3:3:3,18,26,194,6132,3204,179,883330
fd00::203:3:3:3,18,25,274,6204,414,1391,893480
fd00::203:3:3:3,18,26,354,6276,3714,155,903840
fd00::203:3:3:3,18,25,224,6348,504,1142,914060
fd00::203:3:3:3,18,25,234,6420,444,1297,924280
fd00::203:3:3:3,18,26,244,6492,804,716,934570
fd00::203:3:3:3,18,26,324,6564,464,1241,944860
fd00::203:3:3:3,18,25,124,6636,824,699,955080
fd00::203:3:3:3,18,25,204,6708,2514,229,965370
fd00::203:3:3:3,18,26,214,6780,1124,512,975590
fd00::203:3:3:3,18,25,224,6852,434,1327,985880
fd00::203:3:3:3,18,26,234,6924,514,1120,996170
fd00::203:3:3:3,18,26,174,6996,1644,350,1006390
fd00::203:3:3:3,18,26,184,7068,394,1461,1016680
fd00::203:3:3:3,18,26,194,7140,614,938,1027250
fd00::203:3:3:3,18,26,274,7212,764,753,1037190
fd00::203:3:3:3,18,26,214,7284,1264,455,1047480
fd00::203:3:3:3,18,26,154,7356,1974,291,1057700
fd00::203:3:3:3,18,26,164,7428,374,1540,1067990
fd00::203:3:3:3,18,26,384,7500,524,1099,1078280
fd00::203:3:3:3,18,26,184,7572,674,854,1088500
fd00::203:3:3:3,18,26,264,7644,894,644,1098790
fd00::203:3:3:3,18,26,204,7716,974,591,1109080
fd00::203:3:3:3,18,26,214,7788,1544,373,1119300
fd00::203:3:3:3,18,26,154,7860,924,623,1129590
fd00::203:3:3:3,18,26,164,7932,444,1297,1139880
fd00::203:3:3:3,18,26,244,8004,4584,125,1150380
fd00::203:3:3:3,18,26,194,8088,404,1663,1160600
fd00::203:3:3:3,18,26,344,8160,1114,517,1171380
fd00::203:3:3:3,18,26,354,8232,774,744,1180900
fd00::203:3:3:3,18,26,154,8304,434,1327,1191610
fd00::203:3:3:3,18,26,164,8376,724,795,1201410
fd00::203:3:3:3,18,26,174,8448,1084,531,1212330
fd00::203:3:3:3,18,26,184,8520,1024,562,1221990
fd00::203:3:3:3,18,26,404,8592,1944,296,1232840
fd00::203:3:3:3,18,26,344,8664,624,923,1242500
fd00::203:3:3:3,18,26,354,8736,774,744,1252720
fd00::203:3:3:3,18,26,84,8808,1274,452,1263010
fd00::203:3:3:3,18,26,163,8880,443,1300,1273300
fd00::203:3:3:3,18,26,174,8952,664,867,1283520
fd00::203:3:3:3,18,26,184,9024,1304,441,1293810
fd00::203:3:3:3,18,26,334,9096,3414,168,1304100
fd00::203:3:3:3,18,26,204,9168,2724,211,1314320
fd00::203:3:3:3,18,26,214,9240,564,1021,1324610
fd00::203:3:3:3,18,26,154,9312,364,1582,1334830
fd00::203:3:3:3,18,26,234,9384,374,1540,1345120
fd00::203:3:3:3,18,26,314,9456,664,867,1355690
fd00::203:3:3:3,18,26,114,9528,2494,230,1365630
fd00::203:3:3:3,18,26,264,9600,614,938,1375920
fd00::203:3:3:3,18,26,204,9672,1114,517,1386210
fd00::203:3:3:3,18,26,284,9744,984,585,1396430
fd00::203:3:3:3,18,26,154,9816,434,1327,1406720
fd00::203:3:3:3,18,26,164,9888,304,1894,1416940
fd00::203:3:3:3,18,26,174,9960,1854,310,1427230
fd00::203:3:3:3,18,26,395,10032,2215,260,1437520
fd00::203:3:3:3,18,26,194,10104,1874,307,1447740
fd00::203:3:3:3,18,26,134,10176,414,1391,1458030
fd00::203:3:3:3,18,26,214,10248,1544,373,1468320
fd00::203:3:3:3,18,26,84,10320,1554,370,1478820
fd00::203:3:3:3,18,26,304,10392,654,880,1488830
fd00::203:3:3:3,18,26,174,10464,454,1268,1499120
fd00::203:3:3:3,18,26,184,10536,534,1078,1509340
fd00::203:3:3:3,18,26,194,10608,614,938,1519630
fd00::203:3:3:3,18,26,134,10680,1044,551,1529850
fd00::203:3:3:3,18,26,214,10752,984,585,1540910
fd00::203:3:3:3,18,26,234,10836,444,1513,1551130
fd00::203:3:3:3,18,26,174,10908,664,867,1560720
fd00::203:3:3:3,18,26,184,10980,1094,526,1571150
fd00::203:3:3:3,18,26,124,11052,1244,463,1581370
fd00::203:3:3:3,18,26,134,11124,414,1391,1591450
fd00::203:3:3:3,18,26,214,11196,914,630,1601810
fd00::203:3:3:3,18,25,294,11268,924,623,1611960
fd00::203:3:3:3,18,26,164,11340,2614,220,1622740
fd00::203:3:3:3,18,26,244,11412,594,969,1632540
fd00::203:3:3:3,18,26,184,11484,324,1777,1642760
fd00::203:3:3:3,18,26,194,11556,1454,396,1653050
fd00::203:3:3:3,18,26,204,11628,2444,235,1663340
fd00::203:3:3:3,18,26,214,11700,1404,410,1673560
fd00::203:3:3:3,18,26,154,11772,1274,452,1683850
fd00::203:3:3:3,18,26,164,11844,1144,503,1694070
fd00::203:3:3:3,18,26,174,11916,1784,322,1704360
fd00::203:3:3:3,18,26,114,11988,1234,466,1714650
fd00::203:3:3:3,18,26,194,12060,614,938,1724870
fd00::203:3:3:3,18,26,204,12132,1044,551,1735160
fd00::203:3:3:3,18,26,424,12204,1614,356,1745730
fd00::203:3:3:3,18,26,504,12276,1764,326,1755670
fd00::203:3:3:3,18,26,233,12348,443,1300,1765960
fd00::203:3:3:3,18,26,314,12420,524,1099,1776180
fd00::203:3:3:3,18,26,184,12492,814,707,1786470
fd00::203:3:3:3,18,26,194,12564,1524,377,1796760
fd00::203:3:3:3,18,26,204,12636,554,1039,1806980
fd00::203:3:3:3,18,26,144,12708,1684,342,1817270
fd00::203:3:3:3,18,26,155,12780,2255,255,1827560
fd00::203:3:3:3,18,26,164,12852,2054,280,1837780
fd00::203:3:3:3,18,26,174,12924,804,716,1848070
fd00::203:3:3:3,18,26,254,12996,534,1078,1858360
fd00::203:3:3:3,18,26,193,13068,1383,416,1868580
fd00::203:3:3:3,18,26,204,13140,1464,393,1878870
fd00::203:3:3:3,18,26,214,13212,774,744,1889090
fd00::203:3:3:3,18,26,154,13284,2254,255,1899380
fd00::203:3:3:3,18,26,163,13356,513,1122,1909670
fd00::203:3:3:3,18,26,454,13428,1364,422,1919890
fd00::203:3:3:3,18,26,183,13500,533,1080,1933890
fd00::203:3:3:3,18,26,204,13584,764,879,1940820
fd00::203:3:3:3,18,26,354,13656,1124,512,1951180
fd00::203:3:3:3,18,26,154,13728,2044,281,1962170
fd00::203:3:3:3,18,26,164,13800,1914,300,1971970
fd00::203:3:3:3,18,26,174,13872,524,1099,1981630
fd00::203:3:3:3,18,26,184,13944,604,953,1991780
fd00::203:3:3:3,18,26,194,14016,894,644,2002210
fd00::203:3:3:3,18,26,204,14088,1674,344,2012290
fd00::203:3:3:3,18,26,214,14160,914,630,2022580
fd00::203:3:3:3,18,26,154,14232,504,1142,2032800
fd00::203:3:3:3,18,26,514,14304,724,795,2043090
fd00::203:3:3:3,18,26,384,14376,1924,299,2053310
fd00::203:3:3:3,18,26,184,14448,1724,334,2063600
fd00::203:3:3:3,18,26,264,14520,894,644,2073890
fd00::203:3:3:3,18,26,204,14592,1044,551,2084110
fd00::203:3:3:3,18,26,144,14664,1614,356,2094400
fd00::203:3:3:3,18,26,224,14736,924,623,2104690
fd00::203:3:3:3,18,26,164,14808,304,1894,2114910
fd00::203:3:3:3,18,26,174,14880,454,1268,2125200
fd00::203:3:3:3,18,26,184,14952,534,1078,2135420
fd00::203:3:3:3,18,26,194,15024,1244,463,2145710
fd00::203:3:3:3,18,26,274,15096,1044,551,2156000
fd00::203:3:3:3,18,26,214,15168,844,682,2166220
fd00::203:3:3:3,18,26,154,15240,784,734,2176510
fd00::203:3:3:3,18,26,164,15312,1494,385,2186800
fd00::203:3:3:3,18,26,174,15384,1924,299,2197020
fd00::203:3:3:3,18,26,184,15456,534,1078,2207310
fd00::203:3:3:3,18,26,194,15528,754,763,2217600
fd00::203:3:3:3,18,26,204,15600,344,1674,2227820
fd00::203:3:3:3,18,26,284,15672,1964,293,2238110
fd00::203:3:3:3,18,26,154,15744,854,674,2248330
fd00::203:3:3:3,18,26,94,15816,654,880,2258620
fd00::203:3:3:3,18,26,243,15888,593,971,2268910
fd00::203:3:3:3,18,26,184,15960,1794,321,2279130
fd00::203:3:3:3,18,26,194,16032,2924,196,2289420
fd00::203:3:3:3,18,26,274,16104,414,1391,2299710
fd00::203:3:3:3,18,26,214,16176,774,744,2310630
fd00::203:3:3:3,18,26,164,16260,1494,449,2321550
fd00::203:3:3:3,18,25,174,16332,1854,310,2331910
fd00::203:3:3:3,18,26,254,16404,464,1241,2340730
fd00::203:3:3:3,18,26,194,16476,824,699,2351020
fd00::203:3:3:3,18,26,274,16548,904,637,2361590
fd00::203:3:3:3,18,26,214,16620,1684,342,2371810
fd00::203:3:3:3,18,26,154,16692,784,734,2381820
fd00::203:3:3:3,18,26,164,16764,1424,404,2392040
fd00::203:3:3:3,18,26,314,16836,524,1099,2402330
fd00::203:3:3:3,18,26,184,16908,1234,466,2412550
fd00::203:3:3:3,18,26,194,16980,544,1058,2422840
fd00::203:3:3:3,18,26,274,17052,624,923,2433130
fd00::203:3:3:3,18,26,214,17124,564,1021,2443350
fd00::203:3:3:3,18,26,364,17196,1064,541,2453640
fd00::203:3:3:3,18,26,164,17268,2614,220,2463930
fd00::203:3:3:3,18,26,104,17340,3114,184,2474150
fd00::203:3:3:3,18,26,324,17412,674,854,2484440
fd00::203:3:3:3,18,26,194,17484,1104,521,2494660
fd00::203:3:3:3,18,26,344,17556,1884,305,2504950
fd00::203:3:3:3,18,26,214,17628,844,682,2515240
fd00::203:3:3:3,18,26,154,17700,1554,370,2525460
fd00::203:3:3:3,18,26,164,17772,444,1297,2535750
fd00::203:3:3:3,18,26,174,17844,1714,336,2546040
fd00::203:3:3:3,18,26,184,17916,464,1241,2556260
fd00::203:3:3:3,18,26,194,17988,754,763,2566550
fd00::203:3:3:3,18,26,274,18060,904,637,2576910
fd00::203:3:3:3,18,26,214,18132,984,585,2587060
fd00::203:3:3:3,18,26,154,18204,574,1003,2597350
fd00::203:3:3:3,18,26,164,18276,1494,385,2607570
fd00::203:3:3:3,18,26,174,18348,454,1268,2617860
fd00::203:3:3:3,18,26,184,18420,1514,380,2628150
fd00::203:3:3:3,18,26,194,18492,964,597,2638370
fd00::203:3:3:3,18,26,344,18564,974,591,2648660
fd00::203:3:3:3,18,26,214,18636,564,1021,2658950
fd00::203:3:3:3,18,26,154,18708,434,1327,2669170
fd00::203:3:3:3,18,26,164,18780,654,880,2679460
fd00::203:3:3:3,18,26,314,18852,944,610,2689680
fd00::203:3:3:3,18,26,324,18924,1164,494,2699970
fd00::203:3:3:3,18,26,204,19008,554,1212,2710890
fd00::203:3:3:3,18,26,214,19080,1474,390,2721530
fd00::203:3:3:3,18,26,294,19152,2044,281,2732170
fd00::203:3:3:3,18,26,164,19224,724,795,2741270
fd00::203:3:3:3,18,26,174,19296,594,969,2751280
fd00::203:3:3:3,18,26,324,19368,1094,526,2761710
fd00::203:3:3:3,18,26,194,19440,684,842,2771790
fd00::203:3:3:3,18,26,204,19512,1394,413,2782080
fd00::203:3:3:3,18,26,214,19584,1264,455,2792370
fd00::203:3:3:3,18,26,154,19656,504,1142,2802590
fd00::203:3:3:3,18,26,304,19728,864,666,2812880
fd00::203:3:3:3,18,26,174,19800,734,784,2823170
fd00::203:3:3:3,18,26,184,19872,884,651,2833390
fd00::203:3:3:3,18,26,194,19944,1034,557,2843680
fd00::203:3:3:3,18,26,274,20016,694,829,2853900
fd00::203:3:3:3,18,25,214,20088,2244,256,2864190
fd00::203:3:3:3,18,26,224,20160,714,806,2874690
fd00::203:3:3:3,18,26,234,20232,444,1297,2884700
fd00::203:3:3:3,18,26,173,20304,943,610,2894990
fd00::203:3:3:3,18,26,184,20376,3544,162,2905280
fd00::203:3:3:3,18,26,194,20448,684,842,2915500
fd00::203:3:3:3,18,26,274,20520,554,1039,2925790
fd00::203:3:3:3,18,26,215,20592,1615,356,2936080
fd00::203:3:3:3,18,26,154,20664,2114,272,2946300
fd00::203:3:3:3,18,26,444,20736,584,986,2956590
fd00::203:3:3:3,18,26,174,20808,314,1834,2966810
fd00::203:3:3:3,18,26,184,20880,534,1078,2977100
fd00::203:3:3:3,18,26,194,20952,544,1058,2987670
fd00::203:3:3:3,18,26,204,21024,1884,305,2997610
fd00::203:3:3:3,18,26,213,21096,493,1168,3007900
fd00::203:3:3:3,18,26,154,21168,434,1327,3018190
fd00::203:3:3:3,18,26,164,21240,514,1120,3028410
fd00::203:3:3:3,18,26,174,21312,664,867,3038700
fd00::203:3:3:3,18,26,184,21384,604,953,3048920
fd00::203:3:3:3,18,26,194,21456,1944,296,3059210
fd00::203:3:3:3,18,26,344,21528,1534,375,3069500
fd00::203:3:3:3,18,26,284,21600,494,1165,3079720
fd00::203:3:3:3,18,26,294,21672,1414,407,3091620
fd00::203:3:3:3,18,26,174,21756,454,1480,3100650
fd00::203:3:3:3,18,26,184,21828,1654,348,3111710
fd00::203:3:3:3,18,26,194,21900,2364,243,3122490
fd00::203:3:3:3,18,26,204,21972,1534,375,3131590
fd00::203:3:3:3,18,26,354,22044,564,1021,3141320
fd00::203:3:3:3,18,26,294,22116,784,734,3151610
fd00::203:3:3:3,18,26,304,22188,654,880,3161830
fd00::203:3:3:3,18,26,454,22260,1714,336,3172120
fd00::203:3:3:3,18,26,184,22332,2494,230,3182620
fd00::203:3:3:3,18,26,194,22404,544,1058,3192630
fd00::203:3:3:3,18,26,204,22476,344,1674,3202920
fd00::203:3:3:3,18,26,214,22548,2804,205,3213140
fd00::203:3:3:3,18,26,154,22620,854,674,3223430
fd00::203:3:3:3,18,26,234,22692,934,616,3233720
fd00::203:3:3:3,18,26,314,22764,1644,350,3243940
fd00::203:3:3:3,18,26,184,22836,3334,172,3254230
fd00::203:3:3:3,18,26,194,22908,404,1425,3265080
fd00::203:3:3:3,18,26,204,22980,1394,413,3274740
fd00::203:3:3:3,18,26,214,23052,704,818,3285030
fd00::203:3:3:3,18,26,294,23124,1764,326,3295320
fd00::203:3:3:3,18,26,164,23196,514,1120,3305540
fd00::203:3:3:3,18,26,174,23268,1644,350,3315830
fd00::203:3:3:3,18,26,324,23340,1934,297,3326050
fd00::203:3:3:3,18,26,194,23412,754,763,3336340
fd00::203:3:3:3,18,26,344,23484,554,1039,3346630
fd00::203:3:3:3,18,26,424,23556,634,908,3356990
fd00::203:3:3:3,18,26,84,23628,224,2571,3367140
fd00::203:3:3:3,18,26,164,23700,1354,425,3377430
fd00::203:3:3:3,18,26,105,23772,1855,310,3387650
fd00::203:3:3:3,18,26,184,23844,534,1078,3397940
fd00::203:3:3:3,18,26,194,23916,2994,192,3408160
fd00::203:3:3:3,18,26,204,23988,554,1039,3418450
fd00::203:3:3:3,18,26,354,24060,2034,283,3428740
fd00::203:3:3:3,18,26,154,24132,644,894,3438960
fd00::203:3:3:3,18,26,164,24204,514,1120,3449250
fd00::203:3:3:3,18,26,314,24276,454,1268,3459540
fd00::203:3:3:3,18,26,184,24348,814,707,3469760
fd00::203:3:3:3,18,26,194,24420,964,597,3480470
fd00::203:3:3:3,18,25,134,24492,3354,171,3491600
